iter	Passed	Remaining
0	144	144122
1	144	72266
2	145	48353
3	146	36505
4	147	29309
5	149	24703
6	150	21361
7	151	18801
8	152	16829
9	155	15363
10	156	14063
11	157	12993
12	159	12074
13	159	11247
14	160	10565
15	161	9942
16	162	9396
17	163	8928
18	164	8494
19	165	8118
20	166	7782
21	168	7473
22	168	7168
23	169	6892
24	170	6650
25	171	6423
26	172	6209
27	173	6013
28	173	5825
29	174	5650
30	175	5490
31	176	5340
32	177	5204
33	178	5076
34	179	4949
35	180	4833
36	181	4718
37	182	4610
38	183	4510
39	183	4415
40	184	4321
41	185	4232
42	186	4144
43	186	4060
44	187	3979
45	188	3904
46	188	3830
47	189	3763
48	190	3696
49	191	3630
50	191	3565
51	192	3504
52	192	3446
53	193	3389
54	194	3334
55	194	3283
56	195	3233
57	196	3185
58	196	3137
59	197	3090
60	197	3045
61	198	3001
62	199	2959
63	199	2917
64	200	2877
65	200	2837
66	201	2800
67	201	2763
68	202	2727
69	202	2692
70	203	2659
71	203	2625
72	204	2593
73	204	2561
74	205	2529
75	205	2500
76	206	2471
77	206	2442
78	207	2414
79	207	2388
80	208	2361
81	208	2335
82	208	2307
83	209	2282
84	209	2257
85	210	2234
86	210	2211
87	211	2188
88	211	2167
89	212	2145
90	212	2123
91	213	2103
92	213	2084
93	214	2064
94	214	2044
95	215	2026
96	215	2007
97	216	1988
98	216	1969
99	216	1952
100	217	1935
101	217	1918
102	218	1902
103	218	1885
104	219	1870
105	219	1855
106	220	1839
107	221	1825
108	221	1810
109	221	1795
110	222	1782
111	223	1768
112	223	1754
113	224	1741
114	224	1728
115	225	1714
116	225	1701
117	225	1688
118	226	1676
119	226	1664
120	227	1652
121	227	1639
122	228	1628
123	228	1617
124	229	1606
125	229	1594
126	230	1582
127	230	1572
128	231	1561
129	231	1551
130	232	1541
131	232	1531
132	233	1521
133	233	1511
134	234	1502
135	234	1492
136	235	1482
137	235	1472
138	236	1463
139	236	1454
140	237	1445
141	237	1435
142	238	1426
